Author,Title,Article,URL,Date
Kaya Williams,First phase of Snowmass Town Park project could be subject to some ‘scope-cutting’,"Construction crews could start working on the long-awaited Snowmass Village Town Park revamp as early as this August, kicking off the first phase of work with improvements to the rodeo grounds and surrounding parking.,But based on the latest cost projections, “We need to get to a project we can afford first,” Town Manager Clint Kinney said Monday during a Town Council work session.,Snowmass Village has budgeted just north of $3.7 million for “planning, design and the implementation of the Town Park improvements” this year, according to the town’s ,.,A “,” cost estimate for the first phase of the project prepared by MW Golden Constructors rings in nearly $1 million more than that. The proposal, which is based on civil and landscape drawings from February, estimated that construction costs would ring in around $4.8 million, including a 7% contingency of about $338,000 and a margin/fee of around $328,000.,“Obviously, this is over budget, and there (are) locations that we can find some value engineering suggestions,” said Adam Alexander, a chief estimator and corporate secretary at MW Golden.,Rising construction costs are a culprit, according to Connect One Design’s Sara Tie, who has been part of the Town Park design team.,“As Adam gets more advanced in the cost estimating, we are understanding the impacts more and more of the increased cost of construction over the last 18 months,” Tie said.,The cost of earthwork and rodeo arena surfacing, at nearly $1.09 million, is “by far the largest number” on the cost breakdown, Alexander said. The second-priciest line item is the cost of grandstands and bleachers at the arena, which are projected to cost a little less than $455,000.,There are a few ways that planners could bring down the total cost for the town, according to Alexander and Tie.,Part of that is the ‘’value engineering” that Alexander mentioned. That process, according to Tie, means “you’re achieving the same goal, you know, but in a more efficient way.”,But part of the process could also involve narrowing the scope of Phase 1, which “kicks the can down the road” on some components that initially were part of the plan for this phase.,“We’re scope-cutting now to achieve (reductions) because we’re working with such big numbers that we need to get down,” Tie said.,Eliminating some work on play fields near the rodeo arena could trim around $200,000 to $250,000 that was allocated for sodding and some irrigation for those fields, Alexander said. A decorative fence outside the rodeo grounds that rings in at $250,000 is something that the design team could “evaluate,” Tie said.,Numbers are subject to change as designers work on the 60% complete drawings (the current numbers are based on 30% complete drawings, according to Tie). In about six weeks, Alexander will “deliver another cost estimate with less room in it, which will give us a better sense of really how we’re doing,” Tie said.,There may still be a need for some “scope alteration choices” at that point, she said.,Also, the town may be able to offset the cost of bleachers, because the Snowmass Western Heritage Association that produces the rodeo “has pledged $100,000-$150,000 to assist in the purchase of the bleachers,” according to an, for this week’s council discussion.,“There’s options on the table to try to get as close (to) that number as we can, and there’s going to have to be some give and take to probably hit that 3.7 number,” Alexander said.,The planning commission will see land use approvals for the project around “Juneish,” and the Town Council will see them in “Julyish,” Kinney said.,According to Alexander, crews could get moving on Aug. 25 of this year (working around the Jazz-Aspen Snowmass Labor Day Experience setup) and then hit pause on Nov. 25 for the winter. They’d remobilize on April 16, 2023, and wrap up by the time the rodeo starts in June 2023. The schedule would allow the rodeo to operate for its full season this year and next year.",https://www.aspentimes.com/news/first-phase-of-snowmass-town-park-project-could-be-subject-to-some-scope-cutting/,2022-05-10
Kaya Williams,Aspen Public Education Fund seeks board members,"The Aspen Public Education Fund is looking for board members to begin a four-year term in May 2022, and the deadline to apply is Monday.,The nonprofit board oversees the disbursement of public funds from tax revenue to support Aspen’s public schools.,“Factors for consideration include, but are not limited to previous board experience, financial and/or legal expertise, and school district involvement,” according to an , posted on the Aspen School District website.,However, to avoid any “actual or perceived conflicts of interest” on the board, the Aspen Public Education Fund will not accept applications from “current district staff or members of the Board of Education, and their spouses or partners; and, members of district-affiliated groups including the District Financial Advisory Board, District Accountability Committee, School Accountability Committees, and Aspen Education Foundation,” the announcement states.,Applicants must reside within the Roaring Fork Valley. Interested applicants should submit a letter of intent and current resume by Monday to ,.,For information on the fund, visit ,.",https://www.aspentimes.com/news/aspen-public-education-fund-seeks-board-members/,2022-05-09
Kaya Williams,Rising project costs still a thorn for Aspen School District bond efforts,"As planners adjust projects because of rising inflation, Aspen School District is plugging along on deferred campus maintenance and staff housing acquisitions funded by a $114 million bond.,But some of the projects that were mentioned in the , — like a new Cottage preschool, revamped District Theater and upgraded bus barn — have hit some snags, caught on the pesky thorn of rising project costs, according to a May 4 bond update that SitelogIQ’s Damion Spahr presented to the Aspen Board of Education. (Spahr is part of the owner representative team for the bond initiative.),The suggested “high priority” projects include staff housing, deferred maintenance and safety and security upgrades on campus, as well as some updates to furnishings and learning environments, according to Spahr’s presentation.,Those projects will move ahead this summer, with a full slate of maintenance work scheduled on campus and ongoing housing acquisition efforts. Of the $17.6 million in bond funding the district had spent by April this year, nearly $13 million was for housing acquisitions, according to the presentation. The second-highest spending category, deferred maintenance, totaled $2.9 million as of last month; extensive work in that category is on the docket this summer.,Suggested “next priority” work includes “reorganization of space” for the Cottage preschool, net-zero initiatives, performing arts and athletics upgrades and bus barn upgrades, according to Spahr’s presentation.,Superintendent David Baugh acknowledged that the district was “very fortunate” to raise what it did on the bond, but the cost of all the desired projects far exceeds the amount of money the district has to work with, he said at the meeting.,Inflation already ,of the $20 million bond windfall that was supposed to be a discretionary cushion for the district; with project costs still on the rise, the district is continuing to tighten its belt.,“Unfortunately, we’re taking a beating on inflation,” Baugh said. “What that means for all of the projects is nobody is getting as much as they want, for any of it.”,The Cottage was originally slated for a building overhaul that would also establish new district administrative offices, but high costs prompted the district to , and look at a modular classroom concept for now.,“We’re continuing to work on a Cottage solution,” Baugh said.,The District Theater also won’t be getting quite as much work as “theater aficionados” might , Baugh said. A 2005 bond campaign also floated ideas for a District Theater revamp, but that ,.,“This is the second bond offering where we promised to do something for the theater, but we’re not doing nearly as much as the theater would like us to do,” Baugh said.,The work at the theater will focus on safety, sound and lighting improvements, according to Baugh.,“We’re doing some basic stuff, but it’s certainly not our intention to do the heavy lift for the theater that many members of the community have dreamed of, and (that), you know, we’d love to see happen,” Baugh said. “It’s just not going to happen at this point.”,He said that some “concerned community members” are working on a “parallel” focused on the theater, but that work would not be within the scope of the current bond and may not manifest until 2025 or 2026.",https://www.aspentimes.com/news/rising-project-costs-still-a-thorn-for-aspen-school-district-bond-efforts/,2022-05-09
John Stroud,"Interim plan for Sweetwater Lake focuses on health-safety concerns, keeping outfitter in business","U.S. Forest Service and Colorado Parks and Wildlife officials want to move fast on a short-term plan for the newly acquired Sweetwater Lake property. At the same time, local governments are requesting they move slowly when it comes to long-term planning for a new state park.,With summer fast approaching and the likelihood that the public will want to explore the newest 488 acres that became part of the White River National Forest late last year, WRNF Supervisor Scott Fitzwilliams said his office is in “triage” mode in terms of how to handle visitation ahead of developing a formal management plan in conjunction with Parks and Wildlife.,“We have to figure out how to deal with that, because people are coming,” Fitzwilliams said during a joint meeting Monday afternoon between the Garfield and Eagle county commissioners in Glenwood Springs.,Sweetwater Ranch and the lake itself are located in remote northeast Garfield County, but are accessed from the Eagle County side via the Colorado River Road north of Dotsero.,The lake and the surrounding land is open to the public, same as other parts of the forest, Forest Service officials have said.,However, closures in certain areas should be anticipated, such as near an active eagle nest, and the area is generally not yet ready to handle a lot of visitors, WRNF Public Information Officer David Boyd said in a previous statement to the Post Independent.,For now, Fitzwilliams said his office is working to address several health and safety issues regarding the old lodge and restaurant buildings and some cabins that came with the land deal and which are used by a private outfitter who operates on the former ranch property.,Adrian Brink of AJ Brink Outfitters also attended the Monday meeting, asking that her business be allowed to continue to operate through this season, even as those repairs and other property assessments are being done.,“We haven’t decided to do anything yet,” Fitzwilliams said.,As things stands, though, “Right now, the lodge is not fit for human occupation,” he said, describing extensive roof leaks and mold concerns following several years’ worth of deferred maintenance.,“Anything we do with these buildings is short term, until we figure out how it fits into the master plan,” he added.,Aside from the buildings, there are some site liability concerns, such as an unprotected lake overlook that could use some safety fencing, he said.,Both sets of county commissioners asked if some leftover Eagle Valley Land Trust (EVLT) funds from the Save the Lake campaign that helped put Sweetwater Ranch in public hands could be used to help with those temporary upgrades.,Bergen Tjossem, deputy director for EVLT, also attended the meeting along with Executive Director Jessica Foulis.,Tjossem said that about $118,000 in donations that came in after the Save the Lake campaign concluded in 2020 are still designated for use in some way at Sweetwater. But the nonprofit organization’s board would need a formal proposal before it could agree to release those funds, Tjossem said.,The joint meeting also served as a forum for the Garfield County commissioners to , about plans to make Sweetwater Lake the newest state park.,“I have to be honest with you, I’m not crazy about this deal at all, and I don’t think it was handled well,” Commissioner Mike Samson said, leveling criticism primarily at Gov. Jared Polis who made the , to develop a new state park in conjunction with the Forest Service during a press conference on site at Sweetwater Lake last October.,“We were caught off guard by that,” said Samson, who in 2019 joined Commission Chairman John Martin in a 2-1 vote to support the Save the Lake campaign.,“Things changed very quickly, and very deceivingly in my mind,” Samson said, offering that what they thought was an effort to prevent massive private development at Sweetwater turned into potentially a state park, instead.,Garfield Commissioner Tom Jankovsky voted against supporting that effort over concerns about handing private property over to the public trust.,He questioned the financial transaction that , of the property to the Forest Service, which came about as a result of the EVLT campaign and eventually $8.5 million in funding from the federal Land and Water Conservation Fund.,Jankovsky requested full accounting of that transaction, and said it appears there should be some money left over between the various entities that were involved in bringing the deal to fruition.,“Looking at the numbers I have in front of me, it stinks,” Jankovsky said.,Fitzwilliams said he can provide that documentation.,“I’m very confident I can make it smell better,” he said.,Both the Garfield and Eagle county commissioners also called on the state and federal officials involved to , as they plan for a state park, and to make sure the residents who will be most impacted on both sides of the county line are included in those discussions.,“We are thrilled that Sweetwater is protected, but we have talked about our shared shock over it automatically becoming a state park,” Eagle County Commission Chairwoman Jeanne McQueeney said.,“What we wanted to ensure was that it has a future that doesn’t include private development, and that we can work with Parks and Wildlife (CPW) and the Forest Service to come up with a service plan,” she said.,The Eagle commissioners indicated they share Garfield County’s concerns that the area not be developed to the same degree as other state parks in the region, such as Sylvan Lake south of Eagle.,“It has to continue to be what the community up there wants and expected,” Commissioner Kathy Chandler-Henry said.,Garfield Commissioner John Martin emphasized that the historic structures on the site should be preserved as part of any development plans.,“There is some history there that we’d like to preserve,” Martin said, offering up efforts to restore the Mount Vernon and Monticello historical landmarks in Virginia as examples.,Martin added that he’s opposed to any increased federal land ownership in Colorado, but he’s hopeful the joint park planning by CPW and the Forest Service will both preserve and improve the Sweetwater Lake amenities.,Fitzwilliams reiterated that park development is still several years off, and would have to go through the formal National Environmental Policy Act (NEPA) review.,“We’re not ready for that process yet,” he said.,Several residents of the Sweetwater area also spoke at the Monday meeting calling for a slow approach and asking that their concerns about traffic and potential overdevelopment be heard.",https://www.aspentimes.com/news/interim-plan-for-sweetwater-lake-focuses-on-health-safety-concerns-keeping-outfitter-in-business/,2022-05-10
None,Anderson Ranch to offer half-day ‘mini-workshops’,"Anderson Ranch Arts Center will host six “mini workshops” in July during its Recognition Week festivities, accessible half-day classes for a $150 fee each aimed at locals and providing an alternative to the pricier tuition and longer commitment of the vaunted ranch workshops on the Snowmass Village campus.,The ranch quietly opened registration for the workshops online after announcing its Summer Series events in late April.,Led by ranch faculty, each mini workshop will help students create an artwork they can take home.,Options include a class with ceramic artist Louise Deroualle teaching the technique of majolica glazing, where participants can glaze up to four ice cream bowls, and a session on pronto print making with Catherine Liu, where students will create multiples of their original print (Tuesday, July 12, 9 a.m. to noon); a photography workshop on the 19th century cyanotype process with photographer Esther Macy Nooner; one on spoon carving with woodworker Karen Cascone (Tuesday, July 12, 2-5 p.m.); and a second ceramics option with Deroualle teaching how to design and create a personalized mug and a painting workshop with Liu on indigo dyeing techniques (Wednesday, July 13, 9 a.m. to noon).,Workshops will accommodate eight to 10 participants. Registration is open at ,. The full lineup of summer workshops — back to full capacity after two years of pandemic restrictions — will fill the campus beginning the week of June 6 and run through summer. Taught by ranch faculty and world-renowned visiting artists, most workshops run five weekdays from 9 a.m. to 5 p.m. generally with tuition above $1,000. Workshops for children are also available.,The mini workshops come during the ranch’s annual Recognition Week running July 11-16, which will also include a free presentation by 2022 International Artist Honoree Yinka Shonibare (July 13), the Recognition Dinner Gala (July 14) and the first-since-2019 return of the ranch’s popular Art Auction and Community Picnic (July 16).,The ranch’s annual Summer Series of artist talks opens July 7 with Tony Lewis and continues with installation artist Liz Larner (July 21), photographer Jeff Wall (July 28) and painter Maysha Mohamedi (Aug. 4).",https://www.aspentimes.com/news/anderson-ranch-to-offer-half-day-mini-workshops/,2022-05-09
None,Eagle County appoints new  service officer to help local veterans,"Eagle County has a new assistant veterans service officer: Jacqueline (Jacki) Allen-Benson, a 30-year resident of Eagle County and a U.S. Marine who served in the Vietnam War, was approved last week by the Board of County Commissioners.,In her new role, Allen-Benson will be responsible for helping connect veterans in the county to the many services and support systems that are available to them.,“I’m really anxious to help my fellow veterans,” said Allen-Benson, who will serve a two-year appointed term through ​​April 30, 2024. “Because I have that background, and I received veteran services myself, I know how challenging it can be to navigate the bureaucracy. When I saw that there was an opportunity that I maybe could help veterans get through some of that, I just jumped at the chance.”,After Allen-Benson enlisted in the Marine Corps, she was stationed in Quantico, Virginia, and worked in research and development on top secret weapons projects. She said that she found her way to the Marines through pure accident, when she saw a recruitment poster on the wall as she was in line to register for college.,Allen-Benson was the only woman on her research and development team, where she served with 14 men. She said that at the time she enlisted, she was unaware that women were allowed to join the Marine Corps. While her family’s reaction to her surprise decision was not positive at the outset, she said that her experience in the military was both challenging and gratifying.,“My dad even called my congressman, because I had attended private school and was pretty sheltered, and he just had visions of how horrible it was going to be for me. But it turned out that it was not horrible,” Allen-Benson said. “It was probably the best thing I’ve ever done in my life.”,Allen-Benson has a long history of public service in Colorado communities. She moved to the state in 1978 to pursue a degree in horticultural science under the G.I. Bill, after which she served as executive director of LIFTUP, working to provide people with equitable food security. After moving to Eagle County in 1992, Allen-Benson helped to start the Retired Senior Volunteer Program (RSVP), which works to match volunteers ages 55 and older with local, part-time opportunities at nonprofit partner agencies and hospitals.,“I have had a really extra full life, and I love helping people, and veterans in particular,” Allen-Benson said. “When you’re in there, it’s more like a brotherhood, but when you get out, then it was rough, and I think that veterans now are finding the same thing. You’re such a close-knit family, and you have a very direct and significant purpose in your life, and then there you are — out in the world.”,In the three decades that she has lived here, Allen-Benson said she has not personally used many of the services, and that in learning the full landscape of available supports, she hopes to increase the number of veterans that are benefiting from Eagle County’s veteran services.,“I thought I knew a lot, and I knew, like, not even the tip of the iceberg,” Allen-Benson said. “So I think that there’s probably a lot of other veterans out there that could really benefit from the things that are offered through the Veterans Administration.”,Allen-Benson will be working closely with longtime Eagle County Veterans Service Officer Pat Hammon, who has been serving the veteran community for 12 years.,“I admired her for years,” Allen-Benson said. “One time I was having a problem with a medical bill that I had that I was just furious about, and I came to see Pat and she was able to help. She’s just such a wonderful person.”,To learn more about the veteran services that are available in Eagle County, contact Allen-Benson at , and 970-328-8875, or Hammon at , and 970-328-9674.",https://www.aspentimes.com/news/eagle-county-appoints-new-service-officer-to-help-local-veterans/,2022-05-09
Scott Condon,RFTA eyes bus service cuts this summer due to labor shortage,"The labor shortage bug spreading among Roaring Fork Valley employers has bit the public bus agency in a big way.,The Roaring Fork Transportation Authority staff is advising the board of directors to reduce the number of daily bus trips by 72 this summer. That would be a 7% reduction from what is planned. The board will be asked to consider the proposal Thursday in a public hearing at its regular meeting in Carbondale.,“RFTA has been struggling with staffing shortages over the last 18 months as have many of the employers across the nation and within our region,” the staff memo said. “RFTA has accommodated these staffing shortages through reduced service levels during the heart of the global pandemic or by asking more of our workforce.”,The memo continued, “RFTA has been in a non-stop hiring process since the winter of 2020/2021, but has made little progress to adding to our ranks and hitting or maintaining our target of 185 fulltime CDL bus operators.”,In an interview Monday, RFTA chief executive officer Dan Blankenship said a number of factors contribute to the inability to hire workers. The lack of affordable housing is a big one.,RFTA has secured 60 to 70 units to lease on a seasonal basis in winters, in addition to the units it owns or has under extended lease, he said. In the summer, many of those 60 to 70 units are unavailable. For example, many units at the Marolt and Burlingame housing complexes are unavailable in summers.,Another big factor is the cost of living in the region. Many prospects don’t accept positions once they learn about inflated prices in the area, Blankenship said. That has also made it tough for RFTA to retain employees. Those problems persist despite what he said is a favorable pay scale.,“We’ve been doing a full-court press and trying everything we can to recruit people,” Blankenship said.,As it stands, RFTA figures it would be at 90% operational readiness for the summer. In other words, it would be 10% below the number of drivers needed to cover the scheduled service. And that’s before any absences, retirements and unexpected issues, Blankenship said.,The proposed service cuts would put the bus agency at a 105% operational readiness.,The proposed service reductions would affect everything from RFTA’s bread-and-butter Bus Rapid Transit service to Maroon Bells shuttle frequency.,The BRT service makes fewer stops throughout the region between Aspen and points downvalley. As proposed, the number of one-way, daily BRT trips would be reduced to 116 from the planned 149. That’s a reduction of 33 trips or 22%.,The frequency of Maroon Bells shuttles would be reduced from 15 minutes to 20 minutes after 1 p.m. That would reduce daily shuttles to 59 from 64, a reduction of 8%.,Some routes would not be affected, such as the free service in Aspen, Ride Glenwood Springs and the Carbondale circulator.,Ironically, the reduction in service comes at a time when the board of directors has kicked around experimenting with free fares to spur ridership. A bill that passed the state Senate and is expected to pass the state House would provide millions in grants to allow transit operators to provide free service for at least one month during the 2022 and 2023 summers, as outlined by the ,. The bill has the support of Gov. Jared Polis.,RFTA’s staff and board have enthusiastically discussed the possibilities of that legislation, but Blankenship said it probably isn’t realistic to consider offering free service — theoretically increasing demand — at a time the agency has to reduce service due to inadequate staffing levels.,The idea of free service would be to encourage long-term changes in patterns and get people to ride buses more frequently. That would be difficult, Blankenship said, if new riders had trouble getting on buses and, if they did board, being forced to stand. That wouldn’t make a good impression.,“I’m not optimistic staff would recommend doing that,” he said. There’s a better chance the agency could plan ahead for a grant for free fares during a portion of summer 2023, he said.,RFTA will look at adding more affordable housing. It owns various pieces of land that may be suitable for development.,“Based on current conditions, we need a lot more housing,” Blankenship said.",https://www.aspentimes.com/news/rfta-eyes-bus-service-cuts-this-summer-due-to-labor-shortage/,2022-05-10
John Stroud,Roaring Fork Schools board still on hold with superintendent announcement,"An announcement could come before the Wednesday Roaring Fork School District Board of Education meeting on the district’s new superintendent — or not.,“We know that everyone is eagerly awaiting news on the superintendent search,” a board statement included in the Wednesday meeting packet says. “While we still aren’t ready to make an announcement, please know that we continue to work through the post-interview process; it can take some time to follow up with references, negotiate contract details and carefully consider the decision.”,While the board is “optimistic” that it will have an announcement ahead of the board meeting, it’s possible the process could continue.,“The board will provide an oral update if we have not yet concluded the process,” the statement reads. “The board remains committed to working through this process thoughtfully to find the right person to lead us into the next school year and beyond.”,The board, with help from executive search consultants, is seeking to replace Superintendent Rob Stein, who , at the end of the current school year., for the position were ,. They are Tammy Clementi, Jose “Joe” Lopez and Jesús Rodriguez.,Clementi and Rodriguez both have extensive education backgrounds in Colorado at the district and state level.,Rodriguez is currently chief academic officer for Dallas public schools; Lopez is currently superintendent of the Kermit Independent School District in Texas; and Clementi has been working for the past six years at the national level as director of academic planning and analytics for Houghton Mifflin Harcourt, a leading education company.,Each candidate separately visited the district in mid-April to interview with the school board and meet with the executive team and advisory groups. Each also attended a public meet-and-greet and community forum.,More than 1,400 public comments were received during the process, which the school board said it has been considering in making its decision.,The regular RFSD school board meeting begins at 7 p.m. Wednesday at the District Office in Carbondale, 400 Sopris Ave., and is also live-streamed with Spanish interpretation via Zoom.,Also on the agenda is a report on 2022-23 school district budget expenses from Chief Financial Officer Nathan Markham, and a gifted education monitoring report from Superintendent Stein.",https://www.aspentimes.com/news/roaring-fork-schools-board-still-on-hold-with-superintendent-announcement/,2022-05-09
Rick Carroll,AVH’s directors-elect await certification of election results,"Monday’s scheduled swearing-in of three directors on the Aspen Valley Hospital board was postponed because the results of the May 3 election were awaiting certification.,The delay didn’t affect the complexion of the board, however: The three directors-elect are also incumbents.,“Board election results will be certified on Friday,” said AVH election official Andrea Shaffran during the board’s monthly meeting held over Zoom. The officers must also take their oaths in person, Shaffran said, noting that will happen at the June board meeting.,Votes still to be tallied include mail-in ballot arrivals that were postmarked in time to be counted, she said.,Re-elected to the board were Chuck Frias with 1,153 votes, Lee Schumaker with 1,108 and David Eisenstat with 991. The single challenger, Michael Buysse, had 372 votes, according to the unofficial results.,AVH board seats have three-year terms and no term limits.,Frias, Schumaker and Eisenstat round out a board that includes Drs. Melinda Nagle and Greg Balko. All five were on the board during the height of the pandemic; the recent election results signaled the community’s vote of confidence in the directors, said Eisenstat and Schumaker.,Frias also said, “I’m very glad to serve and would also like to say I believe we have a very high functioning and very experienced and balanced board, and it has done a good job supporting the executive team, which we’re lucky to have. Thanks to all the voters for their support.”,Hospital CEO David Ressler also gave props to Shaffran for her first go as the AVH election official.,“She learned what all the requirements are and executed that election process flawlessly,“ Ressler said. ”And that really took a lot of work on her part. She took the responsibility, and that rested entirely on her shoulders.“,In other AVH news:,• The first quarter of 2022 saw near across-the-board increases in patient activity at AVH, Ressler said during his CEO update to the board.,“That first quarter (in 2021) was pretty significantly impaired by the pandemic,” he said. “As we entered 2022 with our restrictions having been lifted … now we’re getting a true picture of the sort of post-COVID, the post-COVID hangover, so we’re up 18% over our COVID-impaired year last year.”,Ressler was referring to the first-quarter increase in hospital admissions over the same period during the 2021 calendar year.,Elsewhere, deliveries were up 6.7% from January through March compared to the same period last year; emergency room visits shot up 28.8%; surgeries increased 11.7%; outpatient visits fell 5.3%; the average length of stay dropped 15.1%; clinic registrations rose 24%; and primary care business saw a 12.5% boost, according to Ressler.,“That increase was really driven by our January levels of activity,” Ressler said, noting it was “probably related to omicron (the COVID-19 variant),  so we had a lot of people coming to our primary care practice for tests and vaccinations.”,• AVH will host its health fairs Nov. 10, 11 and 12 at the Aspen hospital and Nov. 13 at the El Jebel Community Center. Blood draws are available by appointment only. More details will be forthcoming at aspenhospital.org.",https://www.aspentimes.com/news/avhs-directors-elect-await-certification-of-election-results/,2022-05-10
Ike Fredregill,Drought won’t impact Glenwood Springs drinking water supply,"Despite persistent drought conditions, Glenwood Springs water supply can easily accommodate city users’ needs and more for the foreseeable future, Public Works Director Matt Langhorst said.,While snow water equivalent, aka snowpack, feeding the basins north of Glenwood Springs is 8% below average, Langhorst said the city’s main water sources — Grizzly and No Name creeks — provide more than enough water to meet the city’s needs, even in the dry years.,“If you take how much water comes off both No Name and Grizzly creeks, we could drop down a significant amount and still be good,” Langhorst said.,The first of two primary water sources, Grizzly Creek basin’s lowest snowpack was recorded in 1977, yet the basin still produced more than 4,000 acre feet of water that year. Glenwood Springs uses about 2,200 acre feet of water annually, Langhorst said.,Before pulling from Grizzly Creek, however, the city relies on No Name Creek, but no monitors are in place to monitor snowpack feeding the source.,“Usually in June or July, No Name gets low enough that we turn on the diversion for Grizzly Creek,” Langhorst explained. “We could still live on No Name Creek past July, but we would dry the creek up. We still want water going past the intake for aquatic life and other environmental uses.”,On the high side, the Grizzly Creek basin produced more than 17,600 acre feet of water in 1986.,In addition to water rights on No Name and Grizzly creeks, Glenwood Springs has access to about 500 acre feet of water in the Ruedi Reservoir, southeast of the city, Langhorst said.,City staff also pay close attention to water availability in relation to future development.,As project proposals flow into city hall, city staff measure the impact on the surplus using an Equivalent Residential Unit (EQR) of about 350 gallons per day for a standard four-bedroom home with two bathrooms.,“When you build, let’s say 300 condo units, they are not a full EQR,” Langhorst said. “(Each unit) is something less, because most will have less than four bedrooms, and it’s doubtful the majority have two bathrooms or 3,500 feet of lawn area.”,The city then applies the relevant EQR per development against its water model to determine whether city infrastructure and water supply can meet the demand.,“We know we can meet demand, but the water model helps us illustrate that,” Langhorst said. “As we look at what (proposed developments) do to our system, and so far it’s neutral.”,Ample water supply, however, doesn’t mean water restrictions are off the table. Langhorst said the city’s watering restrictions in recent years were implemented to facilitate repairs to water plant infrastructure and accommodate for historic spikes of sediment flowing into the system as a result of debris flows.,To alleviate stress on the system and lessen the likelihood of future restrictions, the city invested about $8.5 million in water infrastructure upgrades in anticipation to and as a result of the debris flows.,Following the infrastructure upgrades, the city can treat about 8.5 million gallons a day and store up to 6 million gallons.,On the hottest days, the city typically uses up to 4.5 million gallons a day.,Glenwood Springs’ drinking water supply might not be at risk as a result of the ongoing drought, but Garfield County could still get stuck with cotton mouth.,Brendon Langenhuizen, the Colorado River District director of technical advocacy, said one of the greatest risk factors presented by a county wide drought is increased fire risk.,“Drought slows regrowth on burn scars, which can lead to debris flows like those we experienced in 2021,” Langenhuizen said. “Also the warmer temperatures cause more moisture to evaporate from our soils.”,Drier soils lead to drier vegetation, which increases wildfire risk. Additionally, drier soils absorb more precipitation and snowpack, decreasing the amount of snow melt flowing into the county’s rivers and tributaries, Langenhuizen explained.,The current Natural Resources Conservation Service drought maps show Garfield County’s status as moderate.,“Last year at this time, we were seeing the flows in the Colorado River at about 50% of average,” Langenhuizen said. “This year, we’re seeing those flows at closer to 80% of average.”,River flows can indicate how quickly snow is melting in key watersheds, and river flow averages are gauged over a 30-year timeframe.,“Conditions are looking better this year,” Langenhuizen said.,Regardless of improved river flows, it’s too soon to say whether this year’s drought will be better or worse than years prior.,The monsoon season, which typically spans from June-August, could be the determining factor, he explained.,“We rely on those monsoonal rains,” Langenhuizen said. “And the forecast is calling for hotter, drier weather in the next three months. I’d rather it be the other way around.”,Whereas the county has plenty of drinking water, recreation and agriculture could be impacted by drought conditions, he said.,Early spring drought conditions can create more opportunities for anglers. But, later in the season, waterway temperatures rise due to a lack of snowmelt entering the rivers. Warmer waters stress fish, can cause fish kill and are generally viewed as bad for the fishing environment, said Lindsay DeFrates, a River District media specialist.,Less water in the river overall reduces other river recreation activities, such as stand-up paddleboarding, rafting and kayaking, DeFrates added.,While Garfield County’s water outlook for 2022 is looking up, DeFrates said the area has a long way to go before it clears its drought status.,“Because we’ve been in drought conditions for so long, our storage capacity in our reservoirs is drastically lowered,” she said.,Langenhuizen added, “Ideally, we need three to five really wet, back-to-back years before we could really consider ourselves out of the drought.”",https://www.aspentimes.com/news/drought-wont-impact-glenwood-springs-drinking-water-supply/,2022-05-08
